Value,Feature
115,DayNum
81,SeaORtg
64,Elo
60,SeaDRtg
53,OppElo
52,Loc
37,Relo
27,OppSeaDRtg
23,OppRelo
22,SeaOSR
20,OppSeaOSR
20,SeaDSR
15,OppSeaORtg
11,OppSeaDSR
